county,chb,schsacRegion,countyFips,chbMapPK,schsacRegionMapPK
Kittson,(NW) Quin County,Northwest (NW),27069,99303,99300
Koochiching,(NE) Aitkin-Itasca-Koochiching,Northeast (NE),27071,99200,99200
Lac qui Parle,(SW) Countryside,Southwest (SW),27073,99600,99600
Lake,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27075,99201,99200
Lake of the Woods,(NW) North Country,Northwest (NW),27077,99301,99300
Le Sueur,(SC) Le Sueur-Waseca,South Central (SC),27079,99403,99400
Lincoln,(SW) Southwest Health & Human Services,Southwest (SW),27081,99604,99600
Lyon,(SW) Southwest Health & Human Services,Southwest (SW),27083,99604,99600
Mahnomen,(NW) Polk-Norman-Mahnomen,Northwest (NW),27087,99302,99300
Marshall,(NW) Quin County,Northwest (NW),27089,99303,99300
Martin,(SC) Human Services of Faribault & Martin Counties,South Central (SC),27091,99402,99400
McLeod,(SC) Meeker-McLeod-Sibley,South Central (SC),27085,99404,99400
Meeker,(SC) Meeker-McLeod-Sibley,South Central (SC),27093,99404,99400
Mille Lacs,(C) Mille Lacs,Central (C),27095,99006,99000
Morrison,(C) Morrison-Todd-Wadena,Central (C),27097,99007,99000
Mower,(SE) Mower,Southeast (SE),27099,99504,99500
Murray,(SW) Southwest Health & Human Services,Southwest (SW),27101,99604,99600
NA,(M) Bloomington (City),Metro (M),NA,99120,99100
NA,(M) Edina (City),Metro (M),NA,99121,99100
NA,(M) Minneapolis (City),Metro (M),NA,99122,99100
NA,(M) Richfield (City),Metro (M),NA,99123,99100
NA,(M) St. Paul (City)-Ramsey,Metro (M),NA,99110,99100
Nicollet,(SC) Brown-Nicollet,South Central (SC),27103,99401,99400
Nobles,(SW) Nobles,Southwest (SW),27105,99603,99600
Norman,(NW) Polk-Norman-Mahnomen,Northwest (NW),27107,99302,99300
Olmsted,(SE) Olmsted,Southeast (SE),27109,99505,99500
Otter Tail,(WC) Partnership4health,West Central (WC),27111,99701,99700
Pennington,(NW) Quin County,Northwest (NW),27113,99303,99300
Pine,(C) Pine,Central (C),27115,99008,99000
Pipestone,(SW) Southwest Health & Human Services,Southwest (SW),27117,99604,99600
Polk,(NW) Polk-Norman-Mahnomen,Northwest (NW),27119,99302,99300
Pope,(WC) Horizon Public Health,West Central (WC),27121,99700,99700
Ramsey,(M) St. Paul (City)-Ramsey,Metro (M),27123,99110,99100
Red Lake,(NW) Quin County,Northwest (NW),27125,99303,99300
Redwood,(SW) Southwest Health & Human Services,Southwest (SW),27127,99604,99600
Renville,(SW) Kandiyohi-Renville,Southwest (SW),27129,99602,99600
Rice,(SE) Rice,Southeast (SE),27131,99506,99500
Rock,(SW) Southwest Health & Human Services,Southwest (SW),27133,99604,99600
Roseau,(NW) Quin County,Northwest (NW),27135,99303,99300
Saint Louis,(NE) Carlton-Cook-Lake-St. Louis,Northeast (NE),27137,99201,99200
Scott,(M) Scott,Metro (M),27139,99104,99100
Sherburne,(C) Sherburne,Central (C),27141,99009,99000
Sibley,(SC) Meeker-McLeod-Sibley,South Central (SC),27143,99404,99400
Stearns,(C) Stearns,Central (C),27145,99010,99000
Steele,(SE) Dodge-Steele,Southeast (SE),27147,99500,99500
Stevens,(WC) Horizon Public Health,West Central (WC),27149,99700,99700
Swift,(SW) Countryside,Southwest (SW),27151,99600,99600
Todd,(C) Morrison-Todd-Wadena,Central (C),27153,99007,99000
Traverse,(WC) Horizon Public Health,West Central (WC),27155,99700,99700
Wabasha,(SE) Wabasha,Southeast (SE),27157,99507,99500
Wadena,(C) Morrison-Todd-Wadena,Central (C),27159,99007,99000
Waseca,(SC) Le Sueur-Waseca,South Central (SC),27161,99403,99400
Washington,(M) Washington,Metro (M),27163,99105,99100
Watonwan,(SC) Watonwan,South Central (SC),27165,99405,99400
Wilkin,(WC) Partnership4health,West Central (WC),27167,99701,99700
Winona,(SE) Winona,Southeast (SE),27169,99508,99500
Wright,(C) Wright,Central (C),27171,99011,99000
Yellow Medicine,(SW) Countryside,Southwest (SW),27173,99600,99600
