indicator,year,fips,location,age,vaccine,percent,population,percentPartiallyVaccinated,percentNonMedicalExemption,percentMedicalExemption,percentDiseaseHistory  
Adolescent immunizations,2020,27000,Minnesota,Adolescent (13 year old),Tdap,72.9,91303,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (13 year old),Three vaccine series,26.5,91303,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (19 year old),MenACWY booster,53.7,87049,null,null,null,null
Adolescent immunizations,2020,27000,Minnesota,Adolescent (19 year old),MenB initiation,13.1,87049,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (13 year old),HPV series completion,28.1,89530,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (13 year old),HPV series initiation,55.4,89530,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (13 year old),MenACWY,68.2,89530,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (13 year old),Tdap,70,89530,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (13 year old),Three vaccine series,27.3,89530,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (19 year old),MenACWY booster,56.2,85695,null,null,null,null
Adolescent immunizations,2021,27000,Minnesota,Adolescent (19 year old),MenB initiation,16.7,85695,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (13 year old),HPV series completion,28.7,87451,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (13 year old),HPV series initiation,55.6,87451,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (13 year old),MenACWY,69.1,87451,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (13 year old),Tdap,71,87451,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (13 year old),Three vaccine series,27.5,87451,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (19 year old),MenACWY booster,57.6,87609,null,null,null,null
Adolescent immunizations,2022,27000,Minnesota,Adolescent (19 year old),MenB initiation,18.9,87609,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (13 year old),HPV series completion,29.2,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (13 year old),HPV series initiation,55.2,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (13 year old),MenACWY,69.5,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (13 year old),Tdap,71.1,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (13 year old),Three vaccine series,28,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (19 year old),MenACWY booster,61.9,90944,null,null,null,null
Adolescent immunizations,2023,27000,Minnesota,Adolescent (19 year old),MenB initiation,20.1,90944,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (13 year old),HPV series completion,17.1,175,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (13 year old),HPV series initiation,42.9,175,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (13 year old),MenACWY,69.1,175,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (13 year old),Tdap,75.4,175,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (13 year old),Three vaccine series,16,175,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (19 year old),MenACWY booster,49.4,178,null,null,null,null
Adolescent immunizations,2018,27001,Aitkin,Adolescent (19 year old),MenB initiation,1.7,178,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (13 year old),HPV series completion,20.5,161,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (13 year old),HPV series initiation,52.2,161,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (13 year old),MenACWY,68.3,161,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (13 year old),Tdap,73.3,161,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (13 year old),Three vaccine series,18,161,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (19 year old),MenACWY booster,48.3,145,null,null,null,null
Adolescent immunizations,2019,27001,Aitkin,Adolescent (19 year old),MenB initiation,1.4,145,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (13 year old),HPV series completion,22.8,184,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (13 year old),HPV series initiation,59.2,184,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (13 year old),MenACWY,77.7,184,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (13 year old),Tdap,81,184,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (13 year old),Three vaccine series,21.7,184,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (19 year old),MenACWY booster,50.9,169,null,null,null,null
Adolescent immunizations,2020,27001,Aitkin,Adolescent (19 year old),MenB initiation,1.2,169,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (13 year old),HPV series completion,21.2,179,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (13 year old),HPV series initiation,49.2,179,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (13 year old),MenACWY,64.8,179,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (13 year old),Tdap,71,179,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (13 year old),Three vaccine series,20.1,179,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (19 year old),MenACWY booster,55.1,156,null,null,null,null
Adolescent immunizations,2021,27001,Aitkin,Adolescent (19 year old),MenB initiation,10.9,156,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (13 year old),HPV series completion,22.1,154,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (13 year old),HPV series initiation,52.6,154,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (13 year old),MenACWY,66.9,154,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (13 year old),Tdap,72.7,154,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (13 year old),Three vaccine series,20.8,154,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (19 year old),MenACWY booster,58.1,172,null,null,null,null
Adolescent immunizations,2022,27001,Aitkin,Adolescent (19 year old),MenB initiation,27.3,172,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (13 year old),HPV series completion,21.1,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (13 year old),HPV series initiation,50.6,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (13 year old),MenACWY,69.4,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (13 year old),Tdap,75.6,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (13 year old),Three vaccine series,20,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (19 year old),MenACWY booster,59.2,211,null,null,null,null
Adolescent immunizations,2023,27001,Aitkin  ,Adolescent (19 year old),MenB initiation,31.8,211,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (13 year old),HPV series completion,24.3,5009,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (13 year old),HPV series initiation,51.4,5009,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (13 year old),MenACWY,76.1,5009,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (13 year old),Tdap,77.4,5009,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (13 year old),Three vaccine series,23.8,5009,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (19 year old),MenACWY booster,50.2,4968,null,null,null,null
Adolescent immunizations,2018,27003,Anoka,Adolescent (19 year old),MenB initiation,3.8,4968,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (13 year old),HPV series completion,27.5,5057,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (13 year old),HPV series initiation,56.3,5057,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (13 year old),MenACWY,79.5,5057,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (13 year old),Tdap,80.9,5057,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (13 year old),Three vaccine series,27.2,5057,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (19 year old),MenACWY booster,52.3,4929,null,null,null,null
Adolescent immunizations,2019,27003,Anoka,Adolescent (19 year old),MenB initiation,7.2,4929,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (13 year old),HPV series completion,30.6,5209,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (13 year old),HPV series initiation,58.5,5209,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (13 year old),MenACWY,77.1,5209,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (13 year old),Tdap,79.1,5209,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (13 year old),Three vaccine series,30.1,5209,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (19 year old),MenACWY booster,59.1,5058,null,null,null,null
Adolescent immunizations,2020,27003,Anoka,Adolescent (19 year old),MenB initiation,11.9,5058,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (13 year old),HPV series completion,30.7,5311,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (13 year old),HPV series initiation,60,5311,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (13 year old),MenACWY,73.8,5311,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (13 year old),Tdap,77.1,5311,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (13 year old),Three vaccine series,29.6,5311,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (19 year old),MenACWY booster,60.1,5160,null,null,null,null
Adolescent immunizations,2021,27003,Anoka,Adolescent (19 year old),MenB initiation,14.7,5160,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (13 year old),HPV series completion,29.5,5660,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (13 year old),HPV series initiation,59.2,5660,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (13 year old),MenACWY,72.4,5660,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (13 year old),Tdap,76.3,5660,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (13 year old),Three vaccine series,27.1,5660,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (19 year old),MenACWY booster,58.4,5603,null,null,null,null
Adolescent immunizations,2022,27003,Anoka,Adolescent (19 year old),MenB initiation,16.4,5603,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (13 year old),HPV series completion,30.5,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (13 year old),HPV series initiation,58.4,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (13 year old),MenACWY,72.3,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (13 year old),Tdap,75.1,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (13 year old),Three vaccine series,28.5,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (19 year old),MenACWY booster,66.8,6009,null,null,null,null
Adolescent immunizations,2023,27003,Anoka  ,Adolescent (19 year old),MenB initiation,16.8,6009,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (13 year old),HPV series completion,24,549,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (13 year old),HPV series initiation,53.4,549,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (13 year old),MenACWY,75,549,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (13 year old),Tdap,77.4,549,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (13 year old),Three vaccine series,23.9,549,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (19 year old),MenACWY booster,47.2,483,null,null,null,null
Adolescent immunizations,2018,27005,Becker,Adolescent (19 year old),MenB initiation,1,483,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (13 year old),HPV series completion,30.1,505,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (13 year old),HPV series initiation,57.4,505,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (13 year old),MenACWY,78.4,505,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (13 year old),Tdap,79,505,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (13 year old),Three vaccine series,29.7,505,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (19 year old),MenACWY booster,59.3,462,null,null,null,null
Adolescent immunizations,2019,27005,Becker,Adolescent (19 year old),MenB initiation,6.9,462,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (13 year old),HPV series completion,29.5,532,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (13 year old),HPV series initiation,55.6,532,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (13 year old),MenACWY,74.4,532,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (13 year old),Tdap,76.5,532,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (13 year old),Three vaccine series,28.9,532,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (19 year old),MenACWY booster,63,513,null,null,null,null
Adolescent immunizations,2020,27005,Becker,Adolescent (19 year old),MenB initiation,22.8,513,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (13 year old),HPV series completion,29.8,476,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (13 year old),HPV series initiation,54.8,476,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (13 year old),MenACWY,72.1,476,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (13 year old),Tdap,74.2,476,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (13 year old),Three vaccine series,29.2,476,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (19 year old),MenACWY booster,61.2,498,null,null,null,null
Adolescent immunizations,2021,27005,Becker,Adolescent (19 year old),MenB initiation,34.3,498,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (13 year old),HPV series completion,31.7,533,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (13 year old),HPV series initiation,55.9,533,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (13 year old),MenACWY,72.1,533,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (13 year old),Tdap,74.3,533,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (13 year old),Three vaccine series,31.3,533,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (19 year old),MenACWY booster,60.6,525,null,null,null,null
Adolescent immunizations,2022,27005,Becker,Adolescent (19 year old),MenB initiation,43.2,525,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (13 year old),HPV series completion,29.6,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (13 year old),HPV series initiation,52.6,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (13 year old),MenACWY,69.1,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (13 year old),Tdap,72.2,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (13 year old),Three vaccine series,29.3,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (19 year old),MenACWY booster,57.3,496,null,null,null,null
Adolescent immunizations,2023,27005,Becker  ,Adolescent (19 year old),MenB initiation,41.1,496,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (13 year old),HPV series completion,16.4,754,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (13 year old),HPV series initiation,41.1,754,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (13 year old),MenACWY,67.4,754,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (13 year old),Tdap,70,754,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (13 year old),Three vaccine series,15.9,754,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (19 year old),MenACWY booster,41.7,709,null,null,null,null
Adolescent immunizations,2018,27007,Beltrami,Adolescent (19 year old),MenB initiation,0.8,709,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (13 year old),HPV series completion,23.1,722,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (13 year old),HPV series initiation,48.9,722,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (13 year old),MenACWY,67.2,722,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (13 year old),Tdap,70.2,722,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (13 year old),Three vaccine series,22.7,722,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (19 year old),MenACWY booster,44.1,741,null,null,null,null
Adolescent immunizations,2019,27007,Beltrami,Adolescent (19 year old),MenB initiation,5.5,741,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (13 year old),HPV series completion,25.9,815,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (13 year old),HPV series initiation,54,815,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (13 year old),MenACWY,69.8,815,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (13 year old),Tdap,72.6,815,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (13 year old),Three vaccine series,25.8,815,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (19 year old),MenACWY booster,49.2,658,null,null,null,null
Adolescent immunizations,2020,27007,Beltrami,Adolescent (19 year old),MenB initiation,14.4,658,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (13 year old),HPV series completion,25.8,810,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (13 year old),HPV series initiation,54.1,810,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (13 year old),MenACWY,64.3,810,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (13 year old),Tdap,67.3,810,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (13 year old),Three vaccine series,25.6,810,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (19 year old),MenACWY booster,49.6,659,null,null,null,null
Adolescent immunizations,2021,27007,Beltrami,Adolescent (19 year old),MenB initiation,22.8,659,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (13 year old),HPV series completion,22.5,793,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (13 year old),HPV series initiation,51.5,793,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (13 year old),MenACWY,61.2,793,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (13 year old),Tdap,65.6,793,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (13 year old),Three vaccine series,21.9,793,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (19 year old),MenACWY booster,55.5,726,null,null,null,null
Adolescent immunizations,2022,27007,Beltrami,Adolescent (19 year old),MenB initiation,26.2,726,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (13 year old),HPV series completion,23.7,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (13 year old),HPV series initiation,52.2,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (13 year old),MenACWY,62,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (13 year old),Tdap,65.7,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (13 year old),Three vaccine series,23.6,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (19 year old),MenACWY booster,49.9,764,null,null,null,null
Adolescent immunizations,2023,27007,Beltrami  ,Adolescent (19 year old),MenB initiation,25.4,764,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (13 year old),HPV series completion,23,518,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (13 year old),HPV series initiation,58.7,518,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (13 year old),MenACWY,76.8,518,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (13 year old),Tdap,78.6,518,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (13 year old),Three vaccine series,21.8,518,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (19 year old),MenACWY booster,50.5,444,null,null,null,null
Adolescent immunizations,2018,27009,Benton,Adolescent (19 year old),MenB initiation,8.1,444,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (13 year old),HPV series completion,32.1,523,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (13 year old),HPV series initiation,62.5,523,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (13 year old),MenACWY,82.6,523,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (13 year old),Tdap,83.4,523,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (13 year old),Three vaccine series,32.1,523,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (19 year old),MenACWY booster,53.4,498,null,null,null,null
Adolescent immunizations,2019,27009,Benton,Adolescent (19 year old),MenB initiation,14.5,498,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (13 year old),HPV series completion,35.6,509,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (13 year old),HPV series initiation,61.1,509,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (13 year old),MenACWY,81.3,509,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (13 year old),Tdap,83.3,509,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (13 year old),Three vaccine series,35.4,509,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (19 year old),MenACWY booster,59.2,478,null,null,null,null
Adolescent immunizations,2020,27009,Benton,Adolescent (19 year old),MenB initiation,17.8,478,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (13 year old),HPV series completion,37.8,526,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (13 year old),HPV series initiation,66.2,526,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (13 year old),MenACWY,79.1,526,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (13 year old),Tdap,79.3,526,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (13 year old),Three vaccine series,37.3,526,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (19 year old),MenACWY booster,64.7,467,null,null,null,null
Adolescent immunizations,2021,27009,Benton,Adolescent (19 year old),MenB initiation,19.1,467,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (13 year old),HPV series completion,34.6,613,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (13 year old),HPV series initiation,57.4,613,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (13 year old),MenACWY,72.3,613,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (13 year old),Tdap,73.7,613,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (13 year old),Three vaccine series,34.4,613,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (19 year old),MenACWY booster,66.7,609,null,null,null,null
Adolescent immunizations,2022,27009,Benton,Adolescent (19 year old),MenB initiation,29.1,609,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (13 year old),HPV series completion,34.4,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (13 year old),HPV series initiation,59.6,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (13 year old),MenACWY,76.3,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (13 year old),Tdap,79.5,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (13 year old),Three vaccine series,33.9,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (19 year old),MenACWY booster,68.8,590,null,null,null,null
Adolescent immunizations,2023,27009,Benton  ,Adolescent (19 year old),MenB initiation,25.9,590,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (13 year old),HPV series completion,21.2,66,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (13 year old),HPV series initiation,65.2,66,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (13 year old),MenACWY,83.3,66,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (13 year old),Tdap,83.3,66,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (13 year old),Three vaccine series,21.2,66,null,null,null,null
Adolescent immunizations,2018,27011,Big Stone,Adolescent (19 year old),MenACWY booster,54.8,73,null,null,null,null
