fips,location,year,type,age,sex,count,population,rate,unstable,ci,lci,uci
27000,Minnesota,2015-2019,Acute myeloid leukemia,0-14 years,All,46,5401306,0.8,FALSE,(0.6 - 1.1),0.6,1.1
27000,Minnesota,2005-2009,Acute lymphocytic leukemia,0-14 years,All,195,5269081,3.7,FALSE,(3.2 - 4.2),3.2,4.2
27000,Minnesota,2010-2014,Acute lymphocytic leukemia,0-14 years,All,208,5327310,3.9,FALSE,(3.4 - 4.4),3.4,4.4
27000,Minnesota,2015-2019,Acute lymphocytic leukemia,0-14 years,All,223,5401306,4.1,FALSE,(3.6 - 4.7),3.6,4.7
27000,Minnesota,2015-2019,Acute lymphocytic leukemia,0-19 years,All,258,7188670,3.6,FALSE,(3.1 - 4.0),3.1,4
27000,Minnesota,2005-2009,All cancer types combined,0-19 years,All,1261,7163298,17.4,FALSE,(16.5 - 18.4),16.5,18.4
27000,Minnesota,2010-2014,All cancer types combined,0-19 years,All,1302,7139500,18.2,FALSE,(17.2 - 19.2),17.2,19.2
27000,Minnesota,2015-2019,All cancer types combined,0-19 years,All,1393,7188670,19.4,FALSE,(18.3 - 20.4),18.3,20.4
27000,Minnesota,2005-2009,Brain and other nervous system,0-19 years,All,206,7163298,2.9,FALSE,(2.5 - 3.3),2.5,3.3
27000,Minnesota,2010-2014,Brain and other nervous system,0-19 years,All,254,7139500,3.6,FALSE,(3.1 - 4.0),3.1,4
27000,Minnesota,2015-2019,Brain and other nervous system,0-19 years,All,246,7188670,3.4,FALSE,(3.0 - 3.9),3,3.9
27000,Minnesota,2005-2009,Leukemia,0-19 years,All,315,7163298,4.4,FALSE,(3.9 - 4.9),3.9,4.9
27000,Minnesota,2010-2014,Leukemia,0-19 years,All,296,7139500,4.1,FALSE,(3.7 - 4.6),3.7,4.6
27000,Minnesota,2015-2019,Leukemia,0-19 years,All,328,7188670,4.5,FALSE,(4.1 - 5.0),4.1,5
27000,Minnesota,2015-2019,Thyroid,All Ages,Female,2517,13967134,17.7,FALSE,(17.0 - 18.4),17,18.4
27000,Minnesota,2005-2009,Oral and pharyngeal,All Ages,Female,1032,13105678,7,FALSE,(6.6 - 7.5),6.6,7.5
27000,Minnesota,2015-2019,Oral and pharyngeal,All Ages,Male,2879,13849753,17.7,FALSE,(17.1 - 18.4),17.1,18.4
27000,Minnesota,2010-2014,Oral and pharyngeal,All Ages,Male,2519,13360340,17.1,FALSE,(16.4 - 17.8),16.4,17.8
27000,Minnesota,2005-2009,Oral and pharyngeal,All Ages,Male,2109,12912899,16.4,FALSE,(15.7 - 17.2),15.7,17.2
27000,Minnesota,2005-2009,Acute myeloid leukemia,0-19 years,All,51,7163298,0.7,FALSE,(0.5 - 0.9),0.5,0.9
27000,Minnesota,2010-2014,Acute myeloid leukemia,0-19 years,All,37,7139500,0.5,FALSE,(0.4 - 0.7),0.4,0.7
27000,Minnesota,2015-2019,Acute myeloid leukemia,0-19 years,All,54,7188670,0.7,FALSE,(0.6 - 1.0),0.6,1
27000,Minnesota,2015-2019,Non-Hodgkin lymphoma,All Ages,Female,3027,13967134,17.2,FALSE,(16.6 - 17.9),16.6,17.9
27000,Minnesota,2010-2014,Non-Hodgkin lymphoma,All Ages,Female,2901,13537832,18.2,FALSE,(17.5 - 18.9),17.5,18.9
27000,Minnesota,2005-2009,Non-Hodgkin lymphoma,All Ages,Female,2667,13105678,18.1,FALSE,(17.4 - 18.8),17.4,18.8
27000,Minnesota,2015-2019,Non-Hodgkin lymphoma,All Ages,Male,4047,13849753,26.6,FALSE,(25.8 - 27.4),25.8,27.4
27000,Minnesota,2010-2014,Non-Hodgkin lymphoma,All Ages,Male,3704,13360340,27.3,FALSE,(26.4 - 28.2),26.4,28.2
27000,Minnesota,2005-2009,Non-Hodgkin lymphoma,All Ages,Male,3242,12912899,26.7,FALSE,(25.7 - 27.6),25.7,27.6
27000,Minnesota,2005-2009,Acute lymphocytic leukemia,0-19 years,All,228,7163298,3.2,FALSE,(2.8 - 3.6),2.8,3.6
27000,Minnesota,2010-2014,Acute lymphocytic leukemia,0-19 years,All,237,7139500,3.3,FALSE,(2.9 - 3.7),2.9,3.7
27000,Minnesota,2015-2019,All cancer types combined,All Ages,All,153700,27816887,463.8,FALSE,(461.4 - 466.1),461.4,466.1
27000,Minnesota,2015-2019,Mesothelioma,All Ages,Female,89,13967134,0.5,FALSE,(0.4 - 0.6),0.4,0.6
27000,Minnesota,2010-2014,Mesothelioma,All Ages,Female,98,13537832,0.6,FALSE,(0.5 - 0.8),0.5,0.8
27000,Minnesota,2005-2009,Mesothelioma,All Ages,Female,76,13105678,0.5,FALSE,(0.4 - 0.6),0.4,0.6
27000,Minnesota,2015-2019,Mesothelioma,All Ages,Male,285,13849753,2,FALSE,(1.8 - 2.3),1.8,2.3
27000,Minnesota,2010-2014,Mesothelioma,All Ages,Male,281,13360340,2.2,FALSE,(1.9 - 2.5),1.9,2.5
27000,Minnesota,2005-2009,Mesothelioma,All Ages,Male,239,12912899,2.1,FALSE,(1.8 - 2.4),1.8,2.4
27000,Minnesota,2010-2014,All cancer types combined,All Ages,All,137675,26898172,459,FALSE,(456.5 - 461.5),456.5,461.5
27000,Minnesota,2005-2009,All cancer types combined,All Ages,All,128619,26018577,475.9,FALSE,(473.3 - 478.5),473.3,478.5
27000,Minnesota,2015-2019,Thyroid,All Ages,All,3561,27816887,12.3,FALSE,(11.9 - 12.7),11.9,12.7
27000,Minnesota,2015-2019,Melanoma,All Ages,Female,4919,13967134,31.4,FALSE,(30.5 - 32.4),30.5,32.4
27000,Minnesota,2010-2014,Melanoma,All Ages,Female,3726,13537832,25.2,FALSE,(24.4 - 26.1),24.4,26.1
27000,Minnesota,2005-2009,Melanoma,All Ages,Female,2882,13105678,21,FALSE,(20.2 - 21.8),20.2,21.8
27000,Minnesota,2015-2019,Melanoma,All Ages,Male,6194,13849753,40.5,FALSE,(39.4 - 41.5),39.4,41.5
27000,Minnesota,2010-2014,Melanoma,All Ages,Male,4749,13360340,34.4,FALSE,(33.4 - 35.4),33.4,35.4
27000,Minnesota,2005-2009,Melanoma,All Ages,Male,3367,12912899,27,FALSE,(26.1 - 28.0),26.1,28
27000,Minnesota,2010-2014,Thyroid,All Ages,All,3601,26898172,13,FALSE,(12.5 - 13.4),12.5,13.4
27000,Minnesota,2005-2009,Thyroid,All Ages,All,2883,26018577,10.9,FALSE,(10.5 - 11.3),10.5,11.3
27000,Minnesota,2005-2009,Pancreas,All Ages,All,2779,26018577,10.3,FALSE,(9.9 - 10.7),9.9,10.7
27000,Minnesota,2015-2019,Lung and bronchus,All Ages,Female,9490,13967134,52.3,FALSE,(51.2 - 53.3),51.2,53.3
27000,Minnesota,2010-2014,Lung and bronchus,All Ages,Female,8154,13537832,50.8,FALSE,(49.6 - 51.9),49.6,51.9
27000,Minnesota,2005-2009,Lung and bronchus,All Ages,Female,7200,13105678,50.2,FALSE,(49.0 - 51.4),49,51.4
27000,Minnesota,2015-2019,Lung and bronchus,All Ages,Male,9443,13849753,60.3,FALSE,(59.0 - 61.5),59,61.5
27000,Minnesota,2010-2014,Lung and bronchus,All Ages,Male,8483,13360340,62.4,FALSE,(61.1 - 63.8),61.1,63.8
27000,Minnesota,2005-2009,Lung and bronchus,All Ages,Male,7948,12912899,66.4,FALSE,(65.0 - 67.9),65,67.9
27135,Roseau,2005-2009,Pancreas,All Ages,All,13,79973,13,FALSE,(6.9 - 22.8),6.9,22.8
27000,Minnesota,2010-2014,Pancreas,All Ages,All,3619,26898172,12,FALSE,(11.6 - 12.4),11.6,12.4
27000,Minnesota,2015-2019,Oral and pharyngeal,All Ages,All,4200,27816887,12.4,FALSE,(12.0 - 12.8),12,12.8
27000,Minnesota,2015-2019,Liver and bile duct,All Ages,Female,828,13967134,4.6,FALSE,(4.3 - 5.0),4.3,5
27000,Minnesota,2010-2014,Liver and bile duct,All Ages,Female,534,13537832,3.3,FALSE,(3.0 - 3.6),3,3.6
27000,Minnesota,2005-2009,Liver and bile duct,All Ages,Female,380,13105678,2.6,FALSE,(2.3 - 2.9),2.3,2.9
27000,Minnesota,2015-2019,Liver and bile duct,All Ages,Male,1891,13849753,11.5,FALSE,(11.0 - 12.1),11,12.1
27000,Minnesota,2010-2014,Liver and bile duct,All Ages,Male,1275,13360340,8.5,FALSE,(8.1 - 9.0),8.1,9
27000,Minnesota,2005-2009,Liver and bile duct,All Ages,Male,884,12912899,6.8,FALSE,(6.3 - 7.3),6.3,7.3
27000,Minnesota,2010-2014,Oral and pharyngeal,All Ages,All,3665,26898172,11.8,FALSE,(11.4 - 12.2),11.4,12.2
27000,Minnesota,2005-2009,Oral and pharyngeal,All Ages,All,3141,26018577,11.4,FALSE,(11.0 - 11.8),11,11.8
27000,Minnesota,2015-2019,Non-Hodgkin lymphoma,All Ages,All,7074,27816887,21.5,FALSE,(21.0 - 22.0),21,22
27000,Minnesota,2015-2019,Leukemia,All Ages,Female,2024,13967134,11.9,FALSE,(11.3 - 12.4),11.3,12.4
27000,Minnesota,2010-2014,Leukemia,All Ages,Female,1970,13537832,12.5,FALSE,(11.9 - 13.1),11.9,13.1
27000,Minnesota,2005-2009,Leukemia,All Ages,Female,1688,13105678,11.5,FALSE,(11.0 - 12.1),11,12.1
27000,Minnesota,2015-2019,Leukemia,All Ages,Male,3207,13849753,21.4,FALSE,(20.6 - 22.2),20.6,22.2
27000,Minnesota,2010-2014,Leukemia,All Ages,Male,3008,13360340,22.2,FALSE,(21.4 - 23.1),21.4,23.1
27000,Minnesota,2005-2009,Leukemia,All Ages,Male,2545,12912899,21.1,FALSE,(20.3 - 21.9),20.3,21.9
27000,Minnesota,2010-2014,Non-Hodgkin lymphoma,All Ages,All,6605,26898172,22.3,FALSE,(21.8 - 22.9),21.8,22.9
27000,Minnesota,2005-2009,Non-Hodgkin lymphoma,All Ages,All,5909,26018577,21.9,FALSE,(21.4 - 22.5),21.4,22.5
27000,Minnesota,2015-2019,Mesothelioma,All Ages,All,374,27816887,1.2,FALSE,(1.0 - 1.3),1,1.3
27000,Minnesota,2015-2019,Larynx,All Ages,Female,193,13967134,1,FALSE,(0.9 - 1.2),0.9,1.2
27000,Minnesota,2010-2014,Larynx,All Ages,Female,180,13537832,1.2,FALSE,(1.0 - 1.3),1,1.3
27000,Minnesota,2005-2009,Larynx,All Ages,Female,175,13105678,1.2,FALSE,(1.0 - 1.4),1,1.4
27000,Minnesota,2015-2019,Larynx,All Ages,Male,711,13849753,4.3,FALSE,(4.0 - 4.6),4,4.6
27000,Minnesota,2010-2014,Larynx,All Ages,Male,716,13360340,5,FALSE,(4.7 - 5.4),4.7,5.4
27000,Minnesota,2005-2009,Larynx,All Ages,Male,731,12912899,5.8,FALSE,(5.4 - 6.2),5.4,6.2
27000,Minnesota,2010-2014,Mesothelioma,All Ages,All,379,26898172,1.3,FALSE,(1.2 - 1.4),1.2,1.4
27000,Minnesota,2005-2009,Mesothelioma,All Ages,All,315,26018577,1.2,FALSE,(1.1 - 1.3),1.1,1.3
27000,Minnesota,2015-2019,Melanoma,All Ages,All,11113,27816887,35,FALSE,(34.4 - 35.7),34.4,35.7
27000,Minnesota,2015-2019,Kidney,All Ages,Female,1972,13967134,11.6,FALSE,(11.0 - 12.1),11,12.1
27000,Minnesota,2015-2019,Thyroid,All Ages,Male,1044,13849753,7,FALSE,(6.5 - 7.4),6.5,7.4
27000,Minnesota,2010-2014,Melanoma,All Ages,All,8475,26898172,29,FALSE,(28.3 - 29.6),28.3,29.6
27000,Minnesota,2005-2009,Melanoma,All Ages,All,6249,26018577,23.3,FALSE,(22.7 - 23.9),22.7,23.9
27000,Minnesota,2015-2019,Lung and bronchus,All Ages,All,18933,27816887,55.6,FALSE,(54.8 - 56.4),54.8,56.4
27000,Minnesota,2010-2014,Lung and bronchus,All Ages,All,16637,26898172,55.7,FALSE,(54.8 - 56.5),54.8,56.5
27000,Minnesota,2005-2009,Lung and bronchus,All Ages,All,15148,26018577,57,FALSE,(56.1 - 57.9),56.1,57.9
27000,Minnesota,2015-2019,Liver and bile duct,All Ages,All,2719,27816887,7.9,FALSE,(7.6 - 8.2),7.6,8.2
27000,Minnesota,2010-2014,Liver and bile duct,All Ages,All,1809,26898172,5.8,FALSE,(5.5 - 6.0),5.5,6
27000,Minnesota,2005-2009,Liver and bile duct,All Ages,All,1264,26018577,4.6,FALSE,(4.3 - 4.8),4.3,4.8
27000,Minnesota,2015-2019,Leukemia,All Ages,All,5231,27816887,16.2,FALSE,(15.8 - 16.7),15.8,16.7
27000,Minnesota,2010-2014,Leukemia,All Ages,All,4978,26898172,16.9,FALSE,(16.4 - 17.4),16.4,17.4
27000,Minnesota,2005-2009,Leukemia,All Ages,All,4233,26018577,15.7,FALSE,(15.3 - 16.2),15.3,16.2
27000,Minnesota,2015-2019,Larynx,All Ages,All,904,27816887,2.5,FALSE,(2.4 - 2.7),2.4,2.7
27000,Minnesota,2010-2014,Larynx,All Ages,All,896,26898172,2.9,FALSE,(2.7 - 3.1),2.7,3.1
27000,Minnesota,2005-2009,Larynx,All Ages,All,906,26018577,3.3,FALSE,(3.1 - 3.6),3.1,3.6
27000,Minnesota,2010-2014,Thyroid,All Ages,Female,2675,13537832,19.3,FALSE,(18.6 - 20.1),18.6,20.1
27000,Minnesota,2010-2014,Kidney,All Ages,Female,1709,13537832,10.9,FALSE,(10.3 - 11.4),10.3,11.4
27000,Minnesota,2005-2009,Kidney,All Ages,Female,1572,13105678,10.9,FALSE,(10.4 - 11.5),10.4,11.5
27000,Minnesota,2015-2019,Kidney,All Ages,Male,3890,13849753,24.7,FALSE,(23.9 - 25.5),23.9,25.5
27000,Minnesota,2010-2014,Kidney,All Ages,Male,3206,13360340,22.6,FALSE,(21.8 - 23.4),21.8,23.4
27000,Minnesota,2005-2009,Kidney,All Ages,Male,2686,12912899,21.1,FALSE,(20.3 - 22.0),20.3,22
27000,Minnesota,2015-2019,Kidney,All Ages,All,5862,27816887,17.7,FALSE,(17.3 - 18.2),17.3,18.2
27000,Minnesota,2010-2014,Kidney,All Ages,All,4915,26898172,16.4,FALSE,(15.9 - 16.8),15.9,16.8
27000,Minnesota,2005-2009,Kidney,All Ages,All,4258,26018577,15.7,FALSE,(15.3 - 16.2),15.3,16.2
27000,Minnesota,2015-2019,Esophagus,All Ages,Female,358,13967134,2,FALSE,(1.8 - 2.2),1.8,2.2
27000,Minnesota,2010-2014,Esophagus,All Ages,Female,350,13537832,2.1,FALSE,(1.9 - 2.3),1.9,2.3
27000,Minnesota,2005-2009,Esophagus,All Ages,Female,313,13105678,2.1,FALSE,(1.9 - 2.4),1.9,2.4
27000,Minnesota,2015-2019,Esophagus,All Ages,Male,1338,13849753,8.3,FALSE,(7.8 - 8.8),7.8,8.8
27000,Minnesota,2010-2014,Esophagus,All Ages,Male,1123,13360340,8,FALSE,(7.5 - 8.5),7.5,8.5
27000,Minnesota,2005-2009,Esophagus,All Ages,Male,1089,12912899,8.8,FALSE,(8.3 - 9.3),8.3,9.3
27000,Minnesota,2015-2019,Esophagus,All Ages,All,1696,27816887,4.9,FALSE,(4.7 - 5.2),4.7,5.2
27000,Minnesota,2010-2014,Esophagus,All Ages,All,1473,26898172,4.8,FALSE,(4.6 - 5.1),4.6,5.1
27000,Minnesota,2005-2009,Esophagus,All Ages,All,1402,26018577,5.2,FALSE,(4.9 - 5.4),4.9,5.4
27000,Minnesota,2015-2019,Colorectal,All Ages,Female,5677,13967134,32.6,FALSE,(31.7 - 33.5),31.7,33.5
27000,Minnesota,2010-2014,Colorectal,All Ages,Female,5654,13537832,34.7,FALSE,(33.7 - 35.6),33.7,35.6
27000,Minnesota,2005-2009,Colorectal,All Ages,Female,6044,13105678,40.1,FALSE,(39.1 - 41.1),39.1,41.1
27000,Minnesota,2015-2019,Colorectal,All Ages,Male,6391,13849753,42,FALSE,(41.0 - 43.1),41,43.1
27000,Minnesota,2010-2014,Colorectal,All Ages,Male,6000,13360340,43.9,FALSE,(42.7 - 45.0),42.7,45
27000,Minnesota,2005-2009,Colorectal,All Ages,Male,6171,12912899,51,FALSE,(49.7 - 52.3),49.7,52.3
27000,Minnesota,2015-2019,Colorectal,All Ages,All,12068,27816887,37.1,FALSE,(36.4 - 37.8),36.4,37.8
27000,Minnesota,2010-2014,Colorectal,All Ages,All,11654,26898172,39,FALSE,(38.3 - 39.7),38.3,39.7
27000,Minnesota,2005-2009,Colorectal,All Ages,All,12215,26018577,45.1,FALSE,(44.3 - 45.9),44.3,45.9
27000,Minnesota,2015-2019,Chronic lymphocytic leukemia,All Ages,Female,729,13967134,3.9,FALSE,(3.6 - 4.2),3.6,4.2
27000,Minnesota,2010-2014,Chronic lymphocytic leukemia,All Ages,Female,774,13537832,4.7,FALSE,(4.3 - 5.0),4.3,5
27000,Minnesota,2005-2009,Chronic lymphocytic leukemia,All Ages,Female,707,13105678,4.7,FALSE,(4.3 - 5.0),4.3,5
27000,Minnesota,2015-2019,Chronic lymphocytic leukemia,All Ages,Male,1371,13849753,8.9,FALSE,(8.4 - 9.4),8.4,9.4
27000,Minnesota,2010-2014,Chronic lymphocytic leukemia,All Ages,Male,1386,13360340,10,FALSE,(9.5 - 10.6),9.5,10.6
27000,Minnesota,2005-2009,Chronic lymphocytic leukemia,All Ages,Male,1224,12912899,10.2,FALSE,(9.6 - 10.8),9.6,10.8
27000,Minnesota,2015-2019,Chronic lymphocytic leukemia,All Ages,All,2100,27816887,6.2,FALSE,(5.9 - 6.5),5.9,6.5
27000,Minnesota,2010-2014,Chronic lymphocytic leukemia,All Ages,All,2160,26898172,7.1,FALSE,(6.8 - 7.4),6.8,7.4
27000,Minnesota,2005-2009,Chronic lymphocytic leukemia,All Ages,All,1931,26018577,7.1,FALSE,(6.8 - 7.4),6.8,7.4
27000,Minnesota,2015-2019,Brain and other nervous system,All Ages,Female,904,13967134,5.8,FALSE,(5.4 - 6.2),5.4,6.2
27000,Minnesota,2010-2014,Brain and other nervous system,All Ages,Female,878,13537832,6.1,FALSE,(5.7 - 6.5),5.7,6.5
27000,Minnesota,2005-2009,Brain and other nervous system,All Ages,Female,730,13105678,5.3,FALSE,(4.9 - 5.7),4.9,5.7
27000,Minnesota,2015-2019,Brain and other nervous system,All Ages,Male,1250,13849753,8.4,FALSE,(8.0 - 8.9),8,8.9
27000,Minnesota,2010-2014,Brain and other nervous system,All Ages,Male,1140,13360340,8.3,FALSE,(7.8 - 8.8),7.8,8.8
27000,Minnesota,2005-2009,Brain and other nervous system,All Ages,Male,952,12912899,7.5,FALSE,(7.0 - 7.9),7,7.9
27000,Minnesota,2015-2019,Brain and other nervous system,All Ages,All,2154,27816887,7,FALSE,(6.7 - 7.4),6.7,7.4
27000,Minnesota,2010-2014,Brain and other nervous system,All Ages,All,2018,26898172,7.1,FALSE,(6.8 - 7.4),6.8,7.4
27000,Minnesota,2005-2009,Brain and other nervous system,All Ages,All,1682,26018577,6.3,FALSE,(6.0 - 6.6),6,6.6
27000,Minnesota,2015-2019,Bladder,All Ages,Female,1660,13967134,9.1,FALSE,(8.6 - 9.5),8.6,9.5
27000,Minnesota,2010-2014,Bladder,All Ages,Female,1605,13537832,9.6,FALSE,(9.1 - 10.1),9.1,10.1
27000,Minnesota,2005-2009,Bladder,All Ages,Female,1448,13105678,9.6,FALSE,(9.1 - 10.1),9.1,10.1
27000,Minnesota,2015-2019,Bladder,All Ages,Male,5506,13849753,36.3,FALSE,(35.3 - 37.3),35.3,37.3
27000,Minnesota,2010-2014,Bladder,All Ages,Male,5143,13360340,38.8,FALSE,(37.7 - 39.9),37.7,39.9
27000,Minnesota,2005-2009,Bladder,All Ages,Male,4610,12912899,39.8,FALSE,(38.6 - 40.9),38.6,40.9
27000,Minnesota,2015-2019,Bladder,All Ages,All,7166,27816887,21.3,FALSE,(20.8 - 21.8),20.8,21.8
27000,Minnesota,2010-2014,Bladder,All Ages,All,6748,26898172,22.5,FALSE,(21.9 - 23.0),21.9,23
27000,Minnesota,2005-2009,Bladder,All Ages,All,6058,26018577,22.6,FALSE,(22.0 - 23.2),22,23.2
27000,Minnesota,2015-2019,Acute myeloid leukemia,All Ages,Female,689,13967134,4.1,FALSE,(3.8 - 4.4),3.8,4.4
27000,Minnesota,2010-2014,Acute myeloid leukemia,All Ages,Female,610,13537832,3.9,FALSE,(3.6 - 4.2),3.6,4.2
27000,Minnesota,2005-2009,Acute myeloid leukemia,All Ages,Female,424,13105678,2.9,FALSE,(2.6 - 3.2),2.6,3.2
27000,Minnesota,2015-2019,Acute myeloid leukemia,All Ages,Male,927,13849753,6.2,FALSE,(5.8 - 6.6),5.8,6.6
27000,Minnesota,2010-2014,Acute myeloid leukemia,All Ages,Male,750,13360340,5.7,FALSE,(5.3 - 6.1),5.3,6.1
27000,Minnesota,2005-2009,Acute myeloid leukemia,All Ages,Male,578,12912899,4.8,FALSE,(4.4 - 5.2),4.4,5.2
27000,Minnesota,2015-2019,Acute myeloid leukemia,All Ages,All,1616,27816887,5,FALSE,(4.8 - 5.3),4.8,5.3
27000,Minnesota,2010-2014,Acute myeloid leukemia,All Ages,All,1360,26898172,4.7,FALSE,(4.4 - 4.9),4.4,4.9
27000,Minnesota,2005-2009,Acute myeloid leukemia,All Ages,All,1002,26018577,3.8,FALSE,(3.5 - 4.0),3.5,4
27000,Minnesota,2015-2019,All cancer types combined,All Ages,Female,75091,13967134,440.7,FALSE,(437.4 - 443.9),437.4,443.9
27000,Minnesota,2010-2014,All cancer types combined,All Ages,Female,67488,13537832,429.3,FALSE,(426.0 - 432.6),426,432.6
27000,Minnesota,2005-2009,All cancer types combined,All Ages,Female,60536,13105678,418.3,FALSE,(414.9 - 421.6),414.9,421.6
27000,Minnesota,2015-2019,All cancer types combined,All Ages,Male,78609,13849753,498.6,FALSE,(495.1 - 502.2),495.1,502.2
27000,Minnesota,2010-2014,All cancer types combined,All Ages,Male,70187,13360340,502.3,FALSE,(498.5 - 506.1),498.5,506.1
27000,Minnesota,2005-2009,All cancer types combined,All Ages,Male,68083,12912899,554,FALSE,(549.8 - 558.2),549.8,558.2
27001,Aitkin,2005-2009,Breast,00-49 years,Female,9,19548,33.2 (UR),TRUE,(14.7 - 67.2),14.7,67.2
27001,Aitkin,2010-2014,Breast,50+ years,Female,73,21857,311.1,FALSE,(242.0 - 394.0),242,394
27001,Aitkin,2010-2014,Breast,00-49 years,Female,6,17662,28.3 (UR),TRUE,(10.1 - 64.6),10.1,64.6
27001,Aitkin,2010-2014,Thyroid,All Ages,Female,4,39519,5.5 (UR),TRUE,(1.4 - 19.2),1.4,19.2
27001,Aitkin,2015-2019,Thyroid,All Ages,Female,5,39111,9.7 (UR),TRUE,(2.6 - 27.2),2.6,27.2
27001,Aitkin,2005-2009,Breast,50+ years,Female,89,20532,405.4,FALSE,(323.7 - 501.4),323.7,501.4
27001,Aitkin,2015-2019,Breast,50+ years,Female,72,22554,286.4,FALSE,(222.0 - 364.0),222,364
27001,Aitkin,2015-2019,Breast,00-49 years,Female,7,16557,39.8 (UR),TRUE,(15.9 - 83.3),15.9,83.3
27001,Aitkin,2005-2009,Brain and other nervous system,All Ages,Male,4,41510,4.4 (UR),TRUE,(1.2 - 15.9),1.2,15.9
27001,Aitkin,2010-2014,Brain and other nervous system,All Ages,Male,3,40618,4.3 (UR),TRUE,(0.8 - 17.2),0.8,17.2
27001,Aitkin,2010-2014,Mesothelioma,All Ages,All,6,80137,3.4 (UR),TRUE,(1.2 - 9.9),1.2,9.9
27001,Aitkin,2015-2019,Leukemia,All Ages,Female,7,39111,11.5 (UR),TRUE,(3.2 - 30.3),3.2,30.3
27001,Aitkin,2010-2014,Mesothelioma,All Ages,Female,1,39519,1.0 (UR),TRUE,(0.0 - 13.3),0,13.3
27001,Aitkin,2015-2019,All cancer types combined,All Ages,All,729,79171,449.5,FALSE,(412.3 - 490.0),412.3,490
27001,Aitkin,2005-2009,Chronic lymphocytic leukemia,All Ages,Female,3,40080,3.9 (UR),TRUE,(0.8 - 16.1),0.8,16.1
