"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Latitude","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocatioin"
2018,"AL","Alabama","Chambers","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.8,NA,NA,7.2,8.3,33615,32.91401536,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.39238495 32.91401536)"
2018,"AL","Alabama","Cherokee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.9,NA,NA,9.8,12,26032,34.17572884,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.60387093 34.17572884)"
2018,"AL","Alabama","Cherokee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.2,8.7,26032,34.17572884,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.60387093 34.17572884)"
2018,"AL","Alabama","Chilton","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.4,NA,NA,8.6,10.3,44153,32.84755922,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.71886671 32.84755922)"
2018,"AL","Alabama","Chilton","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.3,8.7,44153,32.84755922,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.71886671 32.84755922)"
2018,"AL","Alabama","Choctaw","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11.1,NA,NA,10.3,11.9,12841,32.020526,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-88.26304964 32.020526)"
2018,"AL","Alabama","Choctaw","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.4,8.5,12841,32.020526,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-88.26304964 32.020526)"
2018,"AL","Alabama","Clarke","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.7,NA,NA,9.9,11.6,23920,31.67753092,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.83050953 31.67753092)"
2018,"AL","Alabama","Clarke","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.3,NA,NA,7.7,8.9,23920,31.67753092,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.83050953 31.67753092)"
2018,"AL","Alabama","Clay","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.5,NA,NA,9.6,11.4,13275,33.26916978,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.86076142 33.26916978)"
2018,"AL","Alabama","Clay","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.4,8.7,13275,33.26916978,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.86076142 33.26916978)"
2018,"AL","Alabama","Cleburne","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.9,NA,NA,9,10.9,14987,33.67451857,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.51894991 33.67451857)"
2018,"AL","Alabama","Cleburne","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.8,NA,NA,7.1,8.5,14987,33.67451857,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.51894991 33.67451857)"
2018,"AL","Alabama","Coffee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.2,NA,NA,7.5,9,51909,31.40188396,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.98828821 31.40188396)"
2018,"AL","Alabama","Coffee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.9,NA,NA,6.4,7.6,51909,31.40188396,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.98828821 31.40188396)"
2018,"AL","Alabama","Colbert","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.4,NA,NA,8.5,10.3,54762,34.70084917,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.80480288 34.70084917)"
2018,"AL","Alabama","Colbert","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.4,NA,NA,6.7,8,54762,34.70084917,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.80480288 34.70084917)"
2018,"AL","Alabama","Conecuh","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11.7,NA,NA,10.9,12.6,12277,31.42928542,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.99409002 31.42928542)"
2018,"AL","Alabama","Conecuh","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.5,NA,NA,7.9,9,12277,31.42928542,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.99409002 31.42928542)"
2018,"AL","Alabama","Coosa","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11.1,NA,NA,10.2,12.1,10715,32.93634238,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.24787111 32.93634238)"
2018,"AL","Alabama","Coosa","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.4,8.6,10715,32.93634238,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.24787111 32.93634238)"
2018,"AL","Alabama","Covington","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.3,NA,NA,9.5,11.4,36986,31.24869317,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.45156346 31.24869317)"
2018,"AL","Alabama","Covington","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.7,NA,NA,7.1,8.4,36986,31.24869317,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.45156346 31.24869317)"
2018,"AL","Alabama","Crenshaw","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.9,NA,NA,9,10.8,13824,31.73171737,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.31327649 31.73171737)"
2018,"AL","Alabama","Crenshaw","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.8,NA,NA,7.2,8.5,13824,31.73171737,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.31327649 31.73171737)"
2018,"AL","Alabama","Cullman","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.2,NA,NA,8.3,10.1,83442,34.13199197,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.8671365 34.13199197)"
2018,"AL","Alabama","Cullman","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.5,NA,NA,6.8,8.2,83442,34.13199197,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.8671365 34.13199197)"
2018,"AL","Alabama","Dale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.7,NA,NA,7.9,9.4,48956,31.43150889,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.61159073 31.43150889)"
2018,"AL","Alabama","Dale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.4,NA,NA,6.8,8,48956,31.43150889,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.61159073 31.43150889)"
2018,"AL","Alabama","Dallas","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.6,NA,NA,9.8,11.4,38310,32.32602481,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.1066303 32.32602481)"
2018,"AL","Alabama","Dallas","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.6,NA,NA,8,9.2,38310,32.32602481,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.1066303 32.32602481)"
2018,"AL","Alabama","DeKalb","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.5,NA,NA,9.5,11.5,71385,34.4602025,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.8035973 34.4602025)"
2018,"AL","Alabama","DeKalb","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.7,NA,NA,7.9,9.6,71385,34.4602025,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.8035973 34.4602025)"
2018,"AL","Alabama","Elmore","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.5,NA,NA,6.8,8.2,81887,32.59685888,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.14875636 32.59685888)"
2018,"AL","Alabama","Elmore","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.8,NA,NA,6.2,7.4,81887,32.59685888,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.14875636 32.59685888)"
2018,"AL","Alabama","Escambia","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.2,NA,NA,9.5,11,36748,31.12612281,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.16137773 31.12612281)"
2018,"AL","Alabama","Escambia","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.5,NA,NA,8,9.1,36748,31.12612281,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.16137773 31.12612281)"
2018,"AL","Alabama","Etowah","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.5,NA,NA,8.6,10.4,102501,34.04522195,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.03539165 34.04522195)"
2018,"AL","Alabama","Etowah","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.7,NA,NA,7,8.3,102501,34.04522195,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.03539165 34.04522195)"
2018,"AL","Alabama","Fayette","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.5,NA,NA,9.6,11.4,16433,33.72121137,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.73921374 33.72121137)"
2018,"AL","Alabama","Fayette","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.3,8.6,16433,33.72121137,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.73921374 33.72121137)"
2018,"AL","Alabama","Franklin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.6,NA,NA,8.8,10.6,31363,34.44238135,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.843283 34.44238135)"
2018,"AL","Alabama","Franklin","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.1,NA,NA,7.4,8.8,31363,34.44238135,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.843283 34.44238135)"
2018,"AL","Alabama","Geneva","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11,NA,NA,10,12,26314,31.09487431,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.83932635 31.09487431)"
2018,"AL","Alabama","Geneva","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.4,NA,NA,7.8,9.2,26314,31.09487431,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.83932635 31.09487431)"
2018,"AL","Alabama","Greene","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",12.5,NA,NA,11.6,13.6,8233,32.8537694,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.95608364 32.8537694)"
2018,"AL","Alabama","Greene","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",9.2,NA,NA,8.6,10,8233,32.8537694,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.95608364 32.8537694)"
2018,"AL","Alabama","Hale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.5,NA,NA,9.7,11.2,14726,32.76294506,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.63018079 32.76294506)"
2018,"AL","Alabama","Hale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.3,NA,NA,7.7,8.9,14726,32.76294506,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.63018079 32.76294506)"
2018,"AL","Alabama","Henry","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.1,NA,NA,9.3,11,17209,31.5149075,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.24183736 31.5149075)"
2018,"AL","Alabama","Henry","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.4,NA,NA,6.9,8.1,17209,31.5149075,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.24183736 31.5149075)"
2018,"AL","Alabama","Houston","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.2,NA,NA,8.4,9.9,104722,31.15350797,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.30249702 31.15350797)"
2018,"AL","Alabama","Houston","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.6,NA,NA,7,8.2,104722,31.15350797,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.30249702 31.15350797)"
2018,"AL","Alabama","Jackson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.8,NA,NA,9.8,11.9,51736,34.77967706,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.99947453 34.77967706)"
2018,"AL","Alabama","Jackson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.4,NA,NA,7.6,9.1,51736,34.77967706,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.99947453 34.77967706)"
2018,"AL","Alabama","Jefferson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.6,NA,NA,7,8.3,659300,33.55458811,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.89673378 33.55458811)"
2018,"AL","Alabama","Jefferson","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.8,NA,NA,6.2,7.3,659300,33.55458811,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.89673378 33.55458811)"
2018,"AL","Alabama","Lamar","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11.2,NA,NA,10.2,12.2,13844,33.77909349,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-88.09715315 33.77909349)"
2018,"AL","Alabama","Lamar","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.2,NA,NA,7.6,9,13844,33.77909349,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-88.09715315 33.77909349)"
2018,"AL","Alabama","Lauderdale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",8.6,NA,NA,7.8,9.5,92387,34.90142261,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.65453895 34.90142261)"
2018,"AL","Alabama","Lauderdale","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.9,NA,NA,6.3,7.6,92387,34.90142261,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.65453895 34.90142261)"
2018,"AL","Alabama","Lawrence","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.8,NA,NA,9,10.6,32957,34.52187809,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.31069915 34.52187809)"
2018,"AL","Alabama","Lawrence","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.8,NA,NA,7.2,8.4,32957,34.52187809,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.31069915 34.52187809)"
2018,"AL","Alabama","Lee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",6.3,NA,NA,5.9,6.9,163941,32.60099295,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.35534328 32.60099295)"
2018,"AL","Alabama","Lee","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7,NA,NA,6.5,7.5,163941,32.60099295,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.35534328 32.60099295)"
2018,"AL","Alabama","Limestone","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.9,NA,NA,7.1,8.7,96174,34.81026419,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.98204165 34.81026419)"
2018,"AL","Alabama","Limestone","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.9,NA,NA,6.3,7.6,96174,34.81026419,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.98204165 34.81026419)"
2018,"AL","Alabama","Lowndes","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",11,NA,NA,10.2,11.8,9974,32.15495765,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.65008014 32.15495765)"
2018,"AL","Alabama","Lowndes","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.7,NA,NA,8.1,9.3,9974,32.15495765,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.65008014 32.15495765)"
2018,"AL","Alabama","Macon","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.3,NA,NA,8.5,10.1,18439,32.38575719,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-85.69271411 32.38575719)"
2018,"AL","Alabama","Macon","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.3,8.5,18439,32.38575719,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-85.69271411 32.38575719)"
2018,"AL","Alabama","Madison","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",7.1,NA,NA,6.4,7.8,366519,34.7629041,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.5506924 34.7629041)"
2018,"AL","Alabama","Madison","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",6.3,NA,NA,5.8,6.9,366519,34.7629041,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.5506924 34.7629041)"
2018,"AL","Alabama","Marengo","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.2,NA,NA,9.4,11,19066,32.24802803,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.78897342 32.24802803)"
2018,"AL","Alabama","Marengo","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",7.9,NA,NA,7.3,8.5,19066,32.24802803,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.78897342 32.24802803)"
2018,"AL","Alabama","Marion","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",10.6,NA,NA,9.5,11.6,29763,34.13691691,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-87.88740512 34.13691691)"
2018,"AL","Alabama","Marion","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8,NA,NA,7.2,8.7,29763,34.13691691,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-87.88740512 34.13691691)"
2018,"AL","Alabama","Marshall","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Crude prevalence",9.7,NA,NA,8.7,10.7,96109,34.36718343,"HLTHOUT","CHD","CrdPrv","Coronary Heart Disease","POINT (-86.30608505 34.36718343)"
2018,"AL","Alabama","Marshall","BRFSS","Health Outcomes","Coronary heart disease among adults aged >=18 years","%","Age-adjusted prevalence",8.1,NA,NA,7.3,8.9,96109,34.36718343,"HLTHOUT","CHD","AgeAdjPrv","Coronary Heart Disease","POINT (-86.30608505 34.36718343)"
